PRKPLCE_NO,PRKPLCE_NM,PRKPLCE_SE,PRKPLCE_TYPE,RDNMADR,LNMADR,PRKCMPRT,FEEDING_SE,ENFORCE_SE,OPER_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,BASIC_TIME,BASIC_CHARGE,ADD_UNIT_TIME,ADD_UNIT_CHARGE,MONTH_CMMTKT,INSTITUTION_NM,PHONE_NUMBER,LATITUDE,LONGITUDE,REFERENCE_DATE
209-1-000008,시청앞노상 주차장,공영,노상,경기도 안양시 동안구 시민대로 230,경기도 안양시 동안구 관양동 1591,34,2,미시행,평일,10:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.392332,126.956512,2026-04-17
209-1-000007,평촌역노상 주차장,공영,노상,경기도 안양시 동안구 관평로182번길 42,경기도 안양시 동안구 관양동 1604,71,1,미시행,평일+토요일,10:00,20:00,30,600,,,,경기도 안양시,031-8045-5255,37.393649,126.962660,2026-04-17
208-2-000029,안양공고 뒤 주차장,공영,노외,,경기도 안양시 만안구 안양동 910-10,5,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.398830,126.913129,2026-04-17
208-2-000028,안양3동노외 주차장,공영,노외,경기도 안양시 만안구 양화로25번길 24-5,경기도 안양시 만안구 안양동 964-5,47,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.3955995197,126.913219,2026-04-17
208-2-000027,서초교 옆 주차장,공영,노외,경기도 안양시 만안구 양화로37번길 23,,11,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.396556,126.912432,2026-04-17
208-2-000026,정우아파트옆 주차장,공영,노외,경기도 안양시 만안구 양화로 61,경기도 안양시 만안구 안양동 910-22,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.398920,126.912877,2026-04-17
208-2-000025,공원아파트 뒤 주차장,공영,노외,경기도 안양시 만안구 박달우회로150번길 41,,23,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.406218,126.912413,2026-04-17
208-2-000024,안양6동2 노외 주차장,공영,노외,경기도 안양시 만안구 안양로 186,,15,2,미시행,평일+토요일+공휴일,00:00,23:59,30,400,,,,경기도 안양시,031-8045-5255,37.390692,126.929122,2026-04-17
208-2-000023,안양6동1 노외 주차장,공영,노외,경기도 안양시 만안구 안양로 174,,30,2,미시행,평일,09:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.389804,126.929820,2026-04-17
208-2-000044,김중업건축박물관 뒤 주차장,공영,노외,경기도 안양시 만안구 예술공원로103번길 4,경기도 안양시 만안구 석수동 214,56,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.418380,126.918319,2026-04-17
208-2-000043,한마음선원뒤 주차장,공영,노외,경기도 안양시 만안구 경수대로1290번길 30-14,경기도 안양시 만안구 석수동 101-65,22,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.422338,126.909473,2026-04-17
208-2-000042,대림아파트 뒤 주차장,공영,노외,경기도 안양시 만안구 만안로 369,경기도 안양시 만안구 안양동 817-25,77,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.411490,126.913689,2026-04-17
208-2-000041,청명리버빌 앞 주차장,공영,노외,,경기도 안양시 만안구 안양동 759-97,15,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.393665,126.910450,2026-04-17
209-2-000022,신기사거리 옆 주차장,공영,노외,,경기도 안양시 동안구 호계동 938,8,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.377873,126.954821,2026-04-17
208-2-000032,완충녹지 주차장 주차장,공영,노외,경기도 안양시 만안구 안양로68번길 19,경기도 안양시 만안구 안양동 347-13,24,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.382554,126.935765,2026-04-17
208-2-000031,안양테크노벨리 주차장,공영,노외,경기도 안양시 만안구 전파로24번길 35-24,,21,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.389026,126.936539,2026-04-17
208-2-000030,안양6동 주민센터 뒤 주차장,공영,노외,경기도 안양시 만안구 안양로170번길 23,,22,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.390073,126.930569,2026-04-17
208-1-000006,안양3동노상 주차장,공영,노상,경기도 안양시 만안구 안양로323번길 24,경기도 안양시 만안구 안양동 695-37,27,1,미시행,평일+토요일,10:00,18:00,30,600,,,,경기도 안양시,031-8045-5255,37.399985,126.918630,2026-04-17
208-1-000005,예술공원고가밑 주차장,공영,노상,경기도 안양시 만안구 경수대로 1175,,88,2,미시행,평일+토요일+공휴일,09:00,21:00,30,400,,,,경기도 안양시,031-8045-5255,37.415309,126.917020,2026-04-17
208-1-000004,박달고가밑 주차장,공영,노상,경기도 안양시 만안구 만안로 340,,56,2,미시행,평일+토요일,11:00,21:00,30,400,,,,경기도 안양시,031-8045-5255,37.409156,126.915848,2026-04-17
208-1-000003,안양역2노상 주차장,공영,노상,경기도 안양시 만안구 만안로 231,,24,1,미시행,평일+토요일+공휴일,10:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.396261,126.920467,2026-04-17
208-1-000002,안양역1노상 주차장,공영,노상,경기도 안양시 만안구 만안로223번길 13,,54,1,미시행,평일+토요일+공휴일,10:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.400587,126.921970,2026-04-17
208-1-000001,남부노상 주차장,공영,노상,경기도 안양시 만안구 만안로 171,,55,1,미시행,평일,10:00,18:00,30,600,,,,경기도 안양시,031-8045-5255,37.396723,126.926338,2026-04-17
208-2-000053,호현마을2 공영주차장,공영,노외,,경기도 안양시 만안구 박달동 815-4,62,5,미시행,평일,09:00,18:00,30,200,,,,경기도 안양시,031-8045-5255,37.406321,126.884022,2026-04-17
208-2-000052,호현마을1 공영주차장,공영,노외,,경기도 안양시 만안구 박달동 818,64,5,미시행,평일,09:00,18:00,30,200,,,,경기도 안양시,031-8045-5255,37.4059999155,126.883488,2026-04-17
208-2-000051,원스퀘어 임시공영 주차장,공영,노외,,경기도 안양시 만안구 안양동 668-29,75,기타,미시행,평일+토요일+공휴일,10:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.400994,126.921391,2026-04-17
